The,Int,Delta
0,1.450750493065925184e+04,5.681478447532781502e+03
10,8.012738702999695306e+03,1.785548703872007309e+03
20,2.552099401641427448e+03,3.733233958563212695e+02
30,3.972829753621052191e+02,2.511135685782829796e+02
40,2.537501183105305245e+03,3.765997947127734733e+02
50,8.462352623322780346e+03,2.345744879405480788e+03
60,1.548772466203547629e+04,9.843259298071614467e+03
70,1.925703838708238982e+04,1.037411044936811049e+04
80,1.927449633941000138e+04,9.149358784437872600e+03
90,1.497674997685650305e+04,6.216834909263055124e+03
100,8.091197826256428925e+03,1.207900885287220262e+03
110,2.686855538371782131e+03,4.149022619305540047e+02
120,2.736693353974558818e+02,1.971880914455052505e+02
130,2.766947937747930609e+03,3.724045900645407414e+02
140,8.855796587299953899e+03,2.824137755551830651e+03
150,1.507297792499736352e+04,6.641420859222836953e+03
160,1.940109102601798804e+04,1.256271128042575401e+04
170,1.934697903229730218e+04,1.327008280857421050e+04
180,1.440102866859815731e+04,7.680056911803144430e+03
